year,file,hours,expected_hours,missing_hours,duplicate_times,latitude_points,longitude_points,latitude_step,longitude_step,has_tp,has_ro,tp_unit,ro_unit,tp_nan,ro_nan,tp_min,tp_max,ro_min,ro_max,tp_negative,ro_negative,status
2000,ERA5_2000.nc,8784,8784,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.06542587280273438,0.0,0.06369972229003906,0,0,OK
2001,ERA5_2001.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.06707191467285156,0.0,0.06583023071289062,0,0,OK
2002,ERA5_2002.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.0717010498046875,0.0,0.06982612609863281,0,0,OK
2003,ERA5_2003.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.070404052734375,0.0,0.06861114501953125,0,0,OK
2004,ERA5_2004.nc,8784,8784,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.06610870361328125,0.0,0.06490135192871094,0,0,OK
2005,ERA5_2005.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.07555198669433594,0.0,0.07080078125,0,0,OK
2006,ERA5_2006.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.07789039611816406,0.0,0.07681465148925781,0,0,OK
2007,ERA5_2007.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.06977653503417969,0.0,0.067047119140625,0,0,OK
2008,ERA5_2008.nc,8784,8784,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.07640647888183594,0.0,0.0793914794921875,0,0,OK
2009,ERA5_2009.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.07636642456054688,0.0,0.06846237182617188,0,0,OK
2010,ERA5_2010.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.09110069274902344,0.0,0.08963394165039062,0,0,OK
2011,ERA5_2011.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.07403755187988281,0.0,0.07608413696289062,0,0,OK
2012,ERA5_2012.nc,8784,8784,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.07188606262207031,0.0,0.07085990905761719,0,0,OK
2013,ERA5_2013.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.07368850708007812,0.0,0.07225418090820312,0,0,OK
2014,ERA5_2014.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.07449722290039062,0.0,0.07687950134277344,0,0,OK
2015,ERA5_2015.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.06954193115234375,0.0,0.06592369079589844,0,0,OK
2016,ERA5_2016.nc,8784,8784,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.07341766357421875,0.0,0.07101821899414062,0,0,OK
2017,ERA5_2017.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.0721588134765625,0.0,0.071197509765625,0,0,OK
2018,ERA5_2018.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.08052635192871094,0.0,0.0770263671875,0,0,OK
2019,ERA5_2019.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.07802581787109375,0.0,0.07930946350097656,0,0,OK
2020,ERA5_2020.nc,8784,8784,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.07163429260253906,0.0,0.07188224792480469,0,0,OK
2021,ERA5_2021.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.06768226623535156,0.0,0.06882858276367188,0,0,OK
2022,ERA5_2022.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.08570289611816406,0.0,0.08252143859863281,0,0,OK
2023,ERA5_2023.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.082061767578125,0.0,0.07301712036132812,0,0,OK
2024,ERA5_2024.nc,8784,8784,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.07164192199707031,0.0,0.0684661865234375,0,0,OK
2025,ERA5_2025.nc,8760,8760,0,0,145,57,0.25,0.25,True,True,m,m,0,0,0.0,0.06603622436523438,0.0,0.06594085693359375,0,0,OK
